icd10,icd10_3,title,chapter_number,chapter_title,block_title
"A00","A00","Cholera",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A000","A00","Cholera due to Vibrio cholerae 01, biovar cholerae",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A001","A00","Cholera due to Vibrio cholerae 01, biovar eltor",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A009","A00","Cholera, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A01","A01","Typhoid and paratyphoid fevers",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A010","A01","Typhoid fever",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A011","A01","Paratyphoid fever A",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A012","A01","Paratyphoid fever B",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A013","A01","Paratyphoid fever C",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A014","A01","Paratyphoid fever, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A02","A02","Other salmonella infections",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A020","A02","Salmonella enteritis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A021","A02","Salmonella sepsis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A022","A02","Localized salmonella infections",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A028","A02","Other specified salmonella infections",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A029","A02","Salmonella infection, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A03","A03","Shigellosis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A030","A03","Shigellosis due to Shigella dysenteriae",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A031","A03","Shigellosis due to Shigella flexneri",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A032","A03","Shigellosis due to Shigella boydii",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A033","A03","Shigellosis due to Shigella sonnei",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A038","A03","Other shigellosis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A039","A03","Shigellosis, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A04","A04","Other bacterial intestinal infections",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A040","A04","Enteropathogenic Escherichia coli infection",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A041","A04","Enterotoxigenic Escherichia coli infection",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A042","A04","Enteroinvasive Escherichia coli infection",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A043","A04","Enterohaemorrhagic Escherichia coli infection",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A044","A04","Other intestinal Escherichia coli infections",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
